owner_of,count
0xbb6712A513C2d7F3E17A40d095a773c5d98574B2,300
0xcbF6b201360E942DFB40b249a7D76157ea83f5Dd,200
0xb3eA75bB13AC7d89956c05a4c26D2A2CAF82E3aE,200
0x95D41776812C6CA222dd5fdea56c065B55FF7655,156
0xfeE5B1baaC86e15815ccD6AC891fE8ba1b90B7Fd,145
0xAD569083DEE565d4Ddb648F32FA392d6d42864c6,135
0x78235d7B68D7650bEDfCc1b051a178fE3eF67115,118
0x2E6b28fDa29e5328acd9cAdaf6B5900DAF5cb576,101
0xB0D0b6dA40e1B3aBCa12a38F5bD95793De935635,94
0xa8095B86474d53dca0e0BCB1452a4da73090a205,93
0xa83974bE125D3fE4bED3F530798Ef3f87Ec21748,87
0x1A9A0B97CE419891f67468F81C91BC82497956E8,86
0xC46bfD225AD359f78C7fE84D50619977c6B7f318,84
0x08D2a85aEd9F1c17b22bDaFBc3Fdf6B5F1DABce7,83
0x035AcBf50b8E269461B7ad46B1e86caD6db01016,80
0x97D2767Db42135E1E2a5Fd7dd3e11646EF4d2b28,78
0x34606E4d14bfdA85C5f8314931C833755fb964DF,78
0x7E41E492351e46ce82dfD0d373E6e519a02F9a69,70
0xcC7AC869585106fB03911070A1EeB816f13d48D1,64
0x1e957a10796552CbD7d5C31439a5e8345dB569A4,64
0x6D361440Dd4746387EfF1Ae65DdBFE891059e0Ce,62
0x503D66eA74445aF5E9ADa4005f3826591F10B98E,61
0x29e6F65dC1594DB318a727CcAf111736c9bBCe77,60
0x4f1d5180c785969c64e41a5902C5616bA0285082,56
0xaE996BF0a9D122ce1DdDEfe7732920b6c1539C29,53
0x77384d1a96D72ff0Ee887534011296d8037003ad,51
0xD1B14cfEf798103b85b53aAf1a46B9a8a272f385,48
0x28521A5B7E439D3b0b8e13c5ca66DE26Cf6E756c,46
0x28a3182325A294b2f9eb021e70a5F11E9437c4c5,45
0x0E124A7c9b378d7276590b6b8b676a75ff923a03,45
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,41
0x016AB691721a99DA1c1489Ca0AC8b549eB0f7713,40
0x17e7F34a783012F212976B42B5648dABB479F8E1,37
0x969a9d4af63D05E56b2967905493Ca602a9e08Cf,36
0xf2C653837e495cBf8B7cC9229d6A68a2477bfaa8,35
0x34dbcfE2a1393De14B1d5C5acBA99178c2bbfAE5,34
0xeCf14386BF1F271AEcb5407e777D41e8a16933b7,33
0x2332432309fc5496a2602e0D848D207A8D93Ed50,33
0xEe7e3D56aEA1e61c3539473DEb02073440173Ea6,33
0xF69B16aa5fdfA2142608932083830C4c49Aa4dE8,31
0xD39AA8158E6d493F0d76Ed37BB4b9185Fcc2FB05,31
0xC2AA6Dbf0a8D8193D6bC0e5F33f81ddf5aA5A082,30
0xCa0e5eF9147Fa2E3a9f37a8E8180Eef156dfbFd9,29
0xEd1C710ad28e9aCA013178A4e8d43a580B4B0Dbf,28
0x6c459efC19c53F9dA79438BF788F6496Bdfc0868,28
0x3bdA56Ef07BF6F996F8E3deFDddE6C8109B7e7Be,28
0x45F037560374A81c1EFA077674406e2Ac5175FA1,28
0xcb89977daCD1643b3e6184ad82E64B63277711b0,27
0x932a824A4d3d0680e0b352De150e6f212B8aC841,27
0x3F990C647664a1e502fc36F8dCaa8C650e7D771a,26
0x8e8665bE566a0953bBEdACA5D6261F2F33113Ff1,26
0x5cfD4E2C982A66B32120E43B016F29c21CBe9b7b,26
0xfd74Ca8C8D8ad2F69C21e1682D6E145EfeF1FA09,25
0xb2B6B71d3200BD3558A59D7cC29E36c3446187aE,25
0x6F885dFAb6520bd9bdC28A5a527e40DAA625a770,25
0x7bCBa9296Df0a11Afac47881E9c08B40371Ba008,25
0xF0f2bb10F0E706128B270beCdfD42663AAc74154,24
0x0094c9CdA2e6D4e52cf068F625e27C06D274F631,24
0xe63Ba03F3399ccDbC346977482920c7F782649B9,24
